Jersey|RushingNum|RushingYards|RushingLong|ReceivingNum|ReceivingYards|ReceivingLong|PassingComp|PassingAtt|PassingYards|PassingTD|PassingLong|PassingInt|OffensiveFumbles|OffensiveFumblesLost|Tackles|Assists|TotalTackles|TacklesForLoss|Sacks|SacksYardsLost|QBHurries|INTs|INTYards|PassesDefensed|BlockedPunts|BlockedFG|FumbleRecoveries|FumbleRecoveryYards|CausedFumbles|PuntReturnNum|PuntReturnYards|PuntReturnLong|PuntReturnFairCatches|KickoffReturnNum|KickoffReturnYards|KickoffReturnLong|TotalReturnYards|PuntNum|PuntYards|PuntLong|PuntInside20|KickoffNum|KickoffYards|KickoffLong|KickoffTouchbacks|RushingTDNum|ReceivingTDNum|FumbleReturnedTDNum|IntReturnedTDNum|PuntReturnedTDNum|KickoffReturnedTDNum|TotalTDNum|PATKickingMade|PATKickingAtt|PATKickingPoints|PATRushingNum|PATReceivingNum|TotalConversionPoints|FGMade|FGAttempted|FGLong|Safeties
4|||||||||||||||5|7|12|0|0|0||0|0|0|0|0|1|0|0|||||||||||||||||||0|0|||||||||||||0
49|||||||||||||||6|2|8|2|0|0||0|0|0|0|0|0|0|1|||||||||||||||||||0|0|||||||||||||0
24|||||||||||||||1|6|7|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
51|||||||||||||||1|2|3|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
13|||||||||||||||3|2|5|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
14|8|27|7||||8|16|121|2|52|2|1|1||||||||||||||||||||||||||||||||0||||||||||0||||||
28|8|30|12|||||||||||||||||||||||||||||||||||||||||||0||||||||||0||||||
12|9|27|11|3|23|18||||||||||||||||||||||||||||||||||||||||0|2|||||2||||0|0|||||
86||||1|52|52|||||||||||||||||||||||||||||||||||||||||0||||||||||0|||||
7||||2|7|4|||||||||||||||||||||||||||||||||||||||||0||||||||||0|||||
23||||1|38|38|||||||||||||||||||||||||||||||||||||||||0||||||||||0|||||
3||||1|1|1|||||||||6|2|8|0|0|0||||0||||||||||3|67|33|67||||||||||0||||0||||||0|||||0
22|||||||||||||||4|2|6|1|0|0||1|0|0|0|0|0|0|0|||||||||||||||||||0|0|||||||||||||0
11|||||||||||||||4|1|5|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
34|||||||||||||||4|2|6|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
20|||||||||||||||3|1|4|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
2|||||||||||||||0|1|1|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
94||||||||||||||||||||||||||||||||||||||4|138|43|2|||||||||||||||||||||
