Jersey|RushingNum|RushingYards|RushingLong|ReceivingNum|ReceivingYards|ReceivingLong|PassingComp|PassingAtt|PassingYards|PassingTD|PassingLong|PassingInt|OffensiveFumbles|OffensiveFumblesLost|Tackles|Assists|TotalTackles|TacklesForLoss|Sacks|SacksYardsLost|QBHurries|INTs|INTYards|PassesDefensed|BlockedPunts|BlockedFG|FumbleRecoveries|FumbleRecoveryYards|CausedFumbles|PuntReturnNum|PuntReturnYards|PuntReturnLong|PuntReturnFairCatches|KickoffReturnNum|KickoffReturnYards|KickoffReturnLong|TotalReturnYards|PuntNum|PuntYards|PuntLong|PuntInside20|KickoffNum|KickoffYards|KickoffLong|KickoffTouchbacks|RushingTDNum|ReceivingTDNum|FumbleReturnedTDNum|IntReturnedTDNum|PuntReturnedTDNum|KickoffReturnedTDNum|TotalTDNum|PATKickingMade|PATKickingAtt|PATKickingPoints|PATRushingNum|PATReceivingNum|TotalConversionPoints|FGMade|FGAttempted|FGLong|Safeties
4|||||||||||||||1|3|4|0|0|0||0|0|0|0|0|2|0|0|||||2|17|17|17|||||||||||0|0||0|||||||||||0
99|||||||||||||||1|2|3|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
13|||||||||||||||1|0|1|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
8||||2|10|5|||||||||||||||||||||||||||||||||||||||||0||||||||||0|||||
24|||||||||||||||1|9|10|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
22|||||||||||||||1|7|8|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
49|||||||||||||||2|5|7|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
44|||||||||||||||1|3|4|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
11|||||||||||||||4|9|13|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
14|14|126|48||||7|14|50|0|11|1|1|1||||||||||||||||||||||||||||||||2||||||2||||0||||||
12|22|149|32|1|10|10||||||||||||||||||||||||||||||||||||||||2|0|||||2||||1|0|2||||
7||||2|19|11||||||||||||||||||||||||||||1|0|0|||||||||||0||||0||||||0|||||
28|6|11|7|||||||||||||||||||||||||||||||2|24|24|24|||||||||0|||||0|||||0||||||
3|1|0|0|1|1|1|||||||||3|2|5|0|0|0||||0||||||||||2|40|29|40|||||||||0|0||||0|||||0|0|||||0
86||||1|10|10|||||||||||||||||||||||||||||||||||||||||0||||||||||0|||||
90|||||||||||||||1|1|2|0|0|0||0|0|0|0|0|0|0|1|||||||||||||||||||0|0|||||||||||||0
20|||||||||||||||1|0|1|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
51|||||||||||||||0|1|1|0|0|0||||0||||||||||||||||||||||||||||||||||||||0
94||||||||||||||||||||||||||||||||||||||||||5|300|60|5||||||||1|3|1||||1|2|40|
